[2017-10-09 14:59:53:0449] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-09 14:59:53:0453] [warn] Error loading configuration from /home/solidowl/.config/whatsapp-desktop/settings.json (Error: ENOENT: no such file or directory, open '/home/solidowl/.config/whatsapp-desktop/settings.json'), loading default
[2017-10-09 17:07:12:0159] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-09 17:09:52:0572] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-09 19:01:46:0894] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-09 22:22:40:0988] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-09 22:24:00:0529] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 07:56:57:0526] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 18:55:02:0424] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 19:22:24:0451] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 19:47:35:0869] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 21:11:21:0402] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 21:12:32:0063] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-10 22:17:25:0191] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-11 18:52:05:0465] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-11 18:52:50:0247] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 02:13:57:0343] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 16:24:48:0512] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 17:19:15:0617] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 18:28:40:0960] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 19:53:14:0667] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 22:07:46:0022] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-13 22:10:32:0222] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-14 18:38:47:0577] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-15 06:23:34:0460] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-15 18:32:41:0434] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-16 12:03:41:0279] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-16 12:54:49:0358] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-17 01:03:41:0620] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-17 03:28:08:0381] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-17 08:09:59:0513] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-18 08:31:15:0164] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-18 17:06:16:0323] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-18 22:51:37:0488] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-21 00:57:39:0657] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-22 11:42:21:0083] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-23 08:05:53:0212] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-24 08:16:37:0716] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-24 08:35:44:0386] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-24 21:21:19:0169] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-28 04:59:46:0119] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-29 02:26:39:0876] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-29 18:06:16:0541] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-29 21:43:18:0164] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-31 05:30:46:0872] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-10-31 09:02:51:0845] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-11-01 15:35:34:0128] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
[2017-11-03 08:08:29:0532] [warn] Error clearing cache: Error: ENOENT: no such file or directory, unlink '/home/solidowl/.config/whatsapp-desktop/Application Cache/Index'
